"","Spell","Rune"
"5029","Fierce Loyalty","Passive"
"5030","Fetish Sycophants","Passive"
"5031","Sacrifice","Provoke the Pack"
"5032","Plague of Toads","Rain of Toads"
"5033","Spirit Walk","Jaunt"
"5034","Horrify","Face of Death"
"5035","Fetish Army","Legion of Daggers"
"5036","Big Bad Voodoo","Slam Dance"
"5037","Fetish Sycophants","Passive"
"5038","Gruesome Feast","Passive"
"5039","Zombie Handler","Passive"
"5040","Pierce the Veil","Passive"
"5041","Haunt","Resentful Spirits"
"5042","Locust Swarm","Pestilence"
"5043","Spirit Walk","Honored Guest"
"5044","Soul Harvest","Vengeful Spirit"
"5045","Piranhas","Piranhado"
"5046","Horrify","Frightening Aspect"
"5047","Pierce the Veil","Passive"
"5048","Gruesome Feast","Passive"
"5049","Creeping Death","Passive"
